នាមត្រកូល នាមខ្លួន,ឡាតាំង,ភេទ,ថ្ងៃ ខែ​ ឆ្នាំកំណើត,ទីកន្លែងកំណើត,អាសយដ្ឋានបច្ចុប្បន្ន,ឈ្មោះឪពុក,ឈ្មោះម្តាយ,អត្តលេខ,ថ្នាក់
លី ម៉ារីណា,LY MARINA,ស្រី,1/10/2012,"សង្កាត់បឹងព្រលឹត, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់បឹងព្រលឹត, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",លី វណ្ណា,គឹម ស៊ាង,S2026031,8
ជា វិសាល,CHEA VISAL,ប្រុស,2/15/2012,"សង្កាត់ផ្សារថ្មី៣, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី៣, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ជា ហ៊ាន,រស់ ផល្លី,S2026032,8
នួន សំណាង,NUON SAMNANG,ប្រុស,3/20/2012,"សង្កាត់ស្ទឹងមានជ័យ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ស្ទឹងមានជ័យ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",នួន នី,ចាន់ សុផល,S2026033,8
សោម វិចិត្រ,SOM VICHTRA,ប្រុស,4/5/2012,"សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",សោម សារ៉ន,លី ផានិត,S2026034,8
រស់ ស្រីពេជ្រ,ROS SREY PICH,ស្រី,5/12/2012,"សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",រស់ រ៉េត,សោម សុខី,S2026035,8
គឹម សុធារ៉ា,KIM SOTHEARA,ស្រី,6/25/2012,"សង្កាត់បឹងទំពុន, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ",គឹម សុផល,ស៊ន សារី,S2026036,8
ផាន សុបញ្ញា,PHAN SOPANHA,ប្រុស,7/14/2012,"សង្កាត់ទួលសង្កែ, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់ទួលសង្កែ, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ",ផាន ឡាយ,ឈាន ស៊ីណេត,S2026037,8
ឡាំ វណ្ណៈ,LAM VANNAK,ប្រុស,8/30/2012,"សង្កាត់ច្បារអំពៅ១, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ","សង្កាត់ច្បារអំពៅ១, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ",ឡាំ ហួរ,ម៉ៅ សុផាត,S2026038,8
ថន សុគន្ធា,THORN SOKUNTHEA,ស្រី,9/18/2012,"សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ","សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ",ថន វណ្ណា,សរ សុភី,S2026039,8
ម៉ៅ វិរៈ,MAO VIRAK,ប្រុស,10/5/2012,"សង្កាត់ចោមចៅ, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចោមចៅ, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ",ម៉ៅ វឿន,ចាន់ ណារី,S2026040,8
ហ៊ាន សុខជា,HEAN SOKCHEA,ស្រី,11/22/2012,"សង្កាត់គោកឃ្លាង, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់គោកឃ្លាង, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",ហ៊ាន រ៉េត,សោម ស្រីមុំ,S2026041,8
ឡុង បញ្ញា,LONG PANHA,ប្រុស,12/8/2012,"សង្កាត់ផ្សារថ្មី១, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី១, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ឡុង ផល,ស្រី មុំ,S2026042,8
ស៊ន សុខហេង,SORN SOKHENG,ប្រុស,1/14/2012,"សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ស៊ន ជា,មាស ផានិត,S2026043,8
ញ៉ែម ស្រីឡែន,NYEM SREYLEN,ស្រី,2/28/2012,"សង្កាត់ទួលទំពូង១, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ","សង្កាត់បឹងទំពុន, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ញ៉ែម សេង,សួស សុភី,S2026044,8
សិត វិបុល,SIT VIBOL,ប្រុស,3/12/2012,"សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",សិត សុខ,មាស ផល្លា,S2026045,8
ង៉ែត ម៉ារី,NGET MARY,ស្រី,4/19/2012,"សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ង៉ែត វណ្ណា,ស៊ន សារ៉េត,S2026046,8
ប៊ុន សុភី,BUN SOPHY,ស្រី,5/4/2012,"សង្កាត់បឹងសាឡាង, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ","សង្កាត់បឹងសាឡាង, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ",ប៊ុន ជឿន,សុខ សារ៉ាន,S2026047,8
ហូ វណ្ណឌី,HO VANNDY,ប្រុស,6/11/2012,"សង្កាត់ផ្សារកណ្ដាល២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារកណ្ដាល២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ហូ វ៉ន,មាស សុខា,S2026048,8
ហ៊ឹម ស្រីនាង,HIM SREYNEANG,ស្រី,7/30/2012,"សង្កាត់កាកាប២, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ","សង្កាត់កាកាប២, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ",ហ៊ឹម យ៉ាន,លី សុភ័ក្រ,S2026049,8
ឃុត ចាន់នី,KHUT CHANNY,ស្រី,8/15/2012,"សង្កាត់រកាខ្ពស់, ក្រុងតាខ្មៅ, ខេត្តកណ្ដាល","សង្កាត់បឹងទំពុន២, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ឃុត ជឿន,ចាន់ សុផល,S2026050,8
សុខ សុភ័ក្ត្រ,SOK SOPHEAK,ស្រី,9/2/2012,"សង្កាត់បឹងកេងកង២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ","សង្កាត់បឹងកេងកង២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ",សុខ សារិទ្ធ,មាស ផល្លា,S2026051,8
ចាន់ វិសាល,CHAN VISAL,ប្រុស,10/18/2012,"សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",ចាន់ វិចិត្រ,ហ៊ឹម សុភី,S2026052,8
ហេង បូរ៉ា,HENG BORA,ប្រុស,11/4/2012,"សង្កាត់ទួលទំពូង២, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ","សង្កាត់ទួលទំពូង២, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ",ហេង ឡុង,សោម សុខី,S2026053,8
