full_name_kh,full_name_en,gender,date of birth,place of birth,address (អាសយដ្ឋានបច្ចុប្បន្ន),father_name,mother_name,father_job,Mother_job,father_phone,mother_phone,student_id,stream,grade,class_id,phone,academic_year
សាន វិសាល,SAN VISAL,ប្រុស,2/14/2011,"សង្កាត់បឹងព្រលឹត, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់បឹងព្រលឹត, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",សាន បូ,លី សុភ័ក្រ,ss,not,not,not,S2026061,not,9,3,11,2024-2025
អ៊ុន ស្រីឡែន,UN SREYLEN,ស្រី,5/20/2011,"សង្កាត់ផ្សារថ្មី៣, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី៣, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",អ៊ុន សុខ,ចាន់ ណារី,ss,not,not,not,S2026062,not,9,3,11,2024-2025
ជា បញ្ញា,CHEA PANHA,ប្រុស,9/5/2011,"សង្កាត់ស្ទឹងមានជ័យ១, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ស្ទឹងមានជ័យ១, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ជា ហ៊ាន,រស់ ផល្លី,ss,not,not,not,S2026063,not,9,3,11,2024-2025
លឹម ម៉ារីណា,LIM MARINA,ស្រី,11/12/2011,"សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",លឹម ឡាយ,យ៉ន សុផល,ss,not,not,not,S2026064,not,9,3,11,2024-2025
រស់ វឌ្ឍនៈ,ROS VATTANAK,ប្រុស,3/22/2011,"សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",រស់ រ៉េត,សោម សុខី,ss,not,not,not,S2026065,not,9,3,11,2024-2025
គឹម សុភ័ក្រ,KIM SOPHEAK,ស្រី,7/8/2011,"សង្កាត់បឹងទំពុន១, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់បឹងទំពុន១, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",គឹម សុផល,ស៊ន សារី,ss,not,not,not,S2026066,not,9,3,11,2024-2025
ផាន វិបុល,PHAN VIBOL,ប្រុស,12/10/2011,"សង្កាត់ទួលសង្កែ២, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់ទួលសង្កែ២, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ",ផាន ឡាយ,ឈាន ស៊ីណេត,ss,not,not,not,S2026067,not,9,3,11,2024-2025
ឡាំ ស្រីនិច,LAM SREYNICH,ស្រី,1/30/2011,"សង្កាត់ច្បារអំពៅ១, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ","សង្កាត់ច្បារអំពៅ១, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ",ឡាំ ហួរ,ម៉ៅ សុផាត,ss,not,not,not,S2026068,not,9,3,11,2024-2025
ថន សំណាង,THORN SAMNANG,ប្រុស,6/18/2011,"សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ","សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ",ថន វណ្ណា,សរ សុភី,ss,not,not,not,S2026069,not,9,3,11,2024-2025
ម៉ៅ ម៉ារីយ៉ា,MAO MARYA,ស្រី,10/2/2011,"សង្កាត់ចោមចៅ៣, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចោមចៅ៣, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ",ម៉ៅ វឿន,ចាន់ ណារី,ss,not,not,not,S2026070,not,9,3,11,2024-2025
ហ៊ាន វិចិត្រ,HEAN VICHET,ប្រុស,4/12/2011,"សង្កាត់គោកឃ្លាង, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់គោកឃ្លាង, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",ហ៊ាន រ៉េត,សោម ស្រីមុំ,ss,not,not,not,S2026071,not,9,3,11,2024-2025
ឡុង ចាន់នី,LONG CHANNY,ស្រី,8/25/2011,"សង្កាត់ផ្សារថ្មី២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ឡុង ផល,ស្រី មុំ,ss,not,not,not,S2026072,not,9,3,11,2024-2025
ស៊ន មករា,SORN MAKARA,ប្រុស,2/14/2011,"សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ស៊ន ជា,មាស ផានិត,ss,not,not,not,S2026073,not,9,3,11,2024-2025
ម៉ែន ស្រីពេជ្រ,MEN SREY PICH,ស្រី,11/20/2011,"សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",ម៉ែន សំ,លី សារ៉េត,ss,not,not,not,S2026074,not,9,3,11,2024-2025
សិត វណ្ណៈ,SIT VANNAK,ប្រុស,6/5/2011,"សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",សិត សុខ,មាស ផល្លា,ss,not,not,not,S2026075,not,9,3,11,2024-2025
ង៉ែត ម៉ារីណា,NGET MARINA,ស្រី,9/12/2011,"សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ង៉ែត វណ្ណា,ស៊ន សារ៉េត,ss,not,not,not,S2026076,not,9,3,11,2024-2025
ប៊ុន សុជាតិ,BUN SOCHEAT,ប្រុស,1/10/2011,"សង្កាត់បឹងសាឡាង, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ","សង្កាត់បឹងសាឡាង, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ",ប៊ុន ជឿន,សុខ សារ៉ាន,ss,not,not,not,S2026077,not,9,3,11,2024-2025
ហូ ស្រីនា,HO SREYNEA,ស្រី,4/30/2011,"សង្កាត់ផ្សារកណ្ដាល២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារកណ្ដាល២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",ហូ វ៉ន,មាស សុខា,ss,not,not,not,S2026078,not,9,3,11,2024-2025
ហ៊ឹម រតនា,HIM RATANA,ប្រុស,8/18/2011,"សង្កាត់កាកាប១, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ","សង្កាត់កាកាប១, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ",ហ៊ឹម យ៉ាន,លី សុភ័ក្រ,ss,not,not,not,S2026079,not,9,3,11,2024-2025
ឃុត ម៉ារី,KHUT MARY,ស្រី,12/5/2011,"សង្កាត់បឹងទំពុន២, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់បឹងទំពុន២, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ឃុត ជឿន,ចាន់ សុផល,ss,not,not,not,S2026080,not,9,3,11,2024-2025
ចាន់ វិសាល,CHAN VISAL,ប្រុស,3/15/2011,"សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់វាលវង់, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",ចាន់ វិចិត្រ,ហ៊ឹម សុភី,ss,not,not,not,S2026081,not,9,3,11,2024-2025
លី ស្រីឡែន,LY SREYLEN,ស្រី,7/22/2011,"សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ","សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ",លី វណ្ណា,ស៊ន សារី,ss,not,not,not,S2026082,not,9,3,11,2024-2025
មាស បញ្ញា,MEAS PANHA,ប្រុស,10/10/2011,"សង្កាត់ផ្សារដើមថ្កូវ, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារដើមថ្កូវ, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ",មាស ម៉ៅ,ចាន់ ធារី,ss,not,not,not,S2026083,not,9,3,11,2024-2025
រស់ ស្រីនិច,ROS SREYNICH,ស្រី,5/8/2011,"សង្កាត់ផ្សារដេប៉ូ៣, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ","សង្កាត់ផ្សារដេប៉ូ៣, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ",រស់ រ៉េត,ចាន់ សុផល,ss,not,not,not,S2026084,not,9,3,11,2024-2025
វង្ស វីរៈ,VONG VIRAK,ប្រុស,11/25/2011,"សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ","សង្កាត់បឹងរាំង, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",វង្ស វ៉ា,ប៉ែន សុធី,ss,not,not,not,S2026085,not,9,3,11,2024-2025
ឡុង ម៉ារីណា,LONG MARINA,ស្រី,6/12/2011,"សង្កាត់ទួលសង្កែ១, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់ទួលសង្កែ១, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ",ឡុង ផល,យ៉ន សុផល,ss,not,not,not,S2026086,not,9,3,11,2024-2025
អ៊ិត វិបុល,IT VIBOL,ប្រុស,2/19/2011,"សង្កាត់គីឡូម៉ែត្រលេខ៦, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់គីឡូម៉ែត្រលេខ៦, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ",អ៊ិត ហុង,សុខ សារ៉ាន,ss,not,not,not,S2026087,not,9,3,11,2024-2025
