,,,,,,,,,
full_name_kh,full_name_en,gender,date of birth,place of birth,address (អាសយដ្ឋានបច្ចុប្បន្ន),father_name,mother_name,student_id,stream
អ៊ឹង វិរៈ,OUNG VIRAK,ប្រុស,1/20/2007,"សង្កាត់បឹងព្រលឹត, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ","សង្កាត់បឹងព្រលឹត, ខណ្ឌ៧មករា, រាជធានីភ្នំពេញ",អ៊ឹង ហួរ,ស៊ន សារី,S2026371,វិទ្យាសាស្ត្រ
សុខ ម៉ារីយ៉ា,SOK MARYA,ស្រី,3/15/2008,"សង្កាត់ផ្សារថ្មី១, ខណ្ឌដូនពេញរាជធានីភ្នំពេញ","សង្កាត់ផ្សារថ្មី១, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ",សុខ ហេង,ចាន់ ធារី,S2026372,វិទ្យាសាស្ត្រ
លី បញ្ញា,LY PANHA,ប្រុស,5/12/2007,"សង្កាត់ស្ទឹងមានជ័យ២, ខណ្ឌមានជ័យ,រាជធានីភ្នំពេញ","សង្កាត់ស្ទឹងមានជ័យ២, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",លី វណ្ណា,គឹម ស៊ាង,S2026373,វិទ្យាសាស្ត្រ
ពេជ្រ ស្រីនិច,PICH SREYNICH,ស្រី,7/22/2009,"សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, ឬាជធានីភ្នំពេញ","សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ",ពេជ្រ បូរ៉ា,ហ៊ឹម សុភី,S2026374,វិទ្យាសាស្ត្រ
ហេង វឌ្ឍនៈ,HENG VATTANAK,ប្រុស,9/5/2006,"សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",ហេង ឡុង,សោម សុខី,S2026375,វិទ្យាសាស្ត្រ
ម៉ៅ សុធារ៉ា,MAO SOTHEARA,ស្រី,11/8/2009,"សង្កាត់បឹងទំពុន២, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ","សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង,រាជធានីភ្នំពេញ",ម៉ៅ វឿន,ចាន់ ណារី,S2026376,វិទ្យាសាស្ត្រ
ថន វិបុល,THORN VIBOL,ប្រុស,2/14/2008,"សង្កាត់ទួលសង្កែ២, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ","សង្កាត់ទួលសង្កែ២, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ",ថន វណ្ណា,សរ សុភី,S2026377,វិទ្យាសាស្ត្រ
ង៉ែត ស្រីឡែន,NGET SREYLEN,ស្រី,4/30/2008,"សង្កាត់ច្បារអំពៅ១, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ","សង្កាត់ច្បារអំពៅ១, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ",ង៉ែត វណ្ណា,ស៊ន សារ៉េត,S2026378,វិទ្យាសាស្ត្រ
ឃុន សំណាង,KHUN SAMNANG,ប្រុស,6/11/2008,"សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ","សង្កាត់អូរឡាំពិក, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ",ឃុន សេង,មាស សុខា,S2026379,វិទ្យាសាស្ត្រ
សោម ស្រីនា,SOM SREYNEA,ស្រី,8/25/2007,"សង្កាត់ចោមចៅ១, ខណ្ឌពោធិ៍សែនជ័យ, រាជធានីភ្នំពេញ","សង្កាត់ចោមចៅ១, ខណ្ឌពោធិ៍សែនជ័យ, រាជាធានីភ្នំពេញ",សោម សារ៉ន,លី ផានិត,S2026380,វិទ្យាសាស្ត្រ
យ៉ាន វិចិត្រ,YAN VICHET,ប្រុស,10/12/2008,"សង្កាត់គោកឃ្លាង, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ","សង្កាត់គោកឃ្លាង, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ",យ៉ាន ហ៊ាន,ចាន់ សុខា,S2026381,វិទ្យាសាស្ត្រ
